x,y,z,quality,true_x,true_y,true_z,node_1eb3_x,node_1eb3_y,node_1eb3_z,node_24e1_x,node_24e1_y,node_24e1_z,node_1538_x,node_1538_y,node_1538_z,node_2a93_x,node_2a93_y,node_2a93_z
2.2173231,2.2401655,0.53392869,66,2.2,2.25,0.83,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
2.2184658,2.2504487,0.48293141,67,2.2,2.25,0.83,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
2.2021871,2.2469158,0.51085055,68,2.2,2.25,0.83,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
2.1887307,2.2339835,0.54048234,67,2.2,2.25,0.83,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
2.1907229,2.2260516,0.53516334,67,2.2,2.25,0.83,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
2.2017667,2.2195523,0.63592625,71,2.2,2.25,0.83,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
2.2021585,2.2270038,0.73010689,71,2.2,2.25,0.83,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
2.1976678,2.2210767,0.70956206,68,2.2,2.25,0.83,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
2.2031198,2.2118905,0.705025,69,2.2,2.25,0.83,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
2.2079754,2.2352836,0.76513892,73,2.2,2.25,0.83,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
2.2108805,2.2250071,0.67247933,66,2.2,2.25,0.83,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
2.2065663,2.2388752,0.60469908,67,2.2,2.25,0.83,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
2.2081344,2.2425869,0.659858,71,2.2,2.25,0.83,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
2.2015307,2.24105,0.57229519,65,2.2,2.25,0.83,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
2.1961815,2.2454247,0.52263153,66,2.2,2.25,0.83,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
2.1971991,2.2414882,0.63099551,71,2.2,2.25,0.83,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
2.187264,2.2284348,0.61724263,67,2.2,2.25,0.83,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
2.1897151,2.233901,0.67217159,71,2.2,2.25,0.83,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
2.184773,2.2320986,0.68488896,69,2.2,2.25,0.83,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
2.1920331,2.2414336,0.72779948,71,2.2,2.25,0.83,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
2.2002511,2.2419777,0.79018939,71,2.2,2.25,0.83,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
2.1985362,2.2414231,0.7101748,67,2.2,2.25,0.83,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
2.188077,2.2224681,0.69275492,67,2.2,2.25,0.83,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
2.1940997,2.2163944,0.69195813,69,2.2,2.25,0.83,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
2.1891916,2.1992352,0.69358838,67,2.2,2.25,0.83,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
2.197933,2.2176762,0.75277531,72,2.2,2.25,0.83,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
2.1976275,2.2130833,0.756142,69,2.2,2.25,0.83,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
2.2052414,2.2269661,0.82443386,72,2.2,2.25,0.83,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
2.2121141,2.22879,0.86338651,71,2.2,2.25,0.83,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
