x,y,z,quality,true_x,true_y,true_z,node_1eb3_x,node_1eb3_y,node_1eb3_z,node_24e1_x,node_24e1_y,node_24e1_z,node_1538_x,node_1538_y,node_1538_z,node_2a93_x,node_2a93_y,node_2a93_z
5.8199992,1.0199668,0.63698906,63,5.82,1.05,0.83,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
5.8210349,1.0218656,0.64773339,64,5.82,1.05,0.83,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
5.8214927,1.0232147,0.63043106,58,5.82,1.05,0.83,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
5.8133612,1.029556,0.6261847,61,5.82,1.05,0.83,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
5.8107471,1.0270767,0.61197442,59,5.82,1.05,0.83,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
5.7946572,1.0218772,0.6437301,73,5.82,1.05,0.83,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
5.7861385,1.0317438,0.71550345,73,5.82,1.05,0.83,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
5.7880182,1.0463713,0.77472335,73,5.82,1.05,0.83,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
5.7836471,1.0408521,0.75064838,67,5.82,1.05,0.83,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
5.7864394,1.0584902,0.79470932,71,5.82,1.05,0.83,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
5.7801113,1.0563984,0.74841815,63,5.82,1.05,0.83,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
5.7859993,1.059466,0.72151947,61,5.82,1.05,0.83,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
