x,y,z,quality,true_x,true_y,true_z,node_1eb3_x,node_1eb3_y,node_1eb3_z,node_24e1_x,node_24e1_y,node_24e1_z,node_1538_x,node_1538_y,node_1538_z,node_2a93_x,node_2a93_y,node_2a93_z
1.5685924,3.9163833,0.53950197,67,1.6,3.88,1.1,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
1.575346,3.9102435,0.60128462,73,1.6,3.88,1.1,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
1.5639176,3.8992589,0.57071328,69,1.6,3.88,1.1,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
1.5585172,3.9014583,0.53604567,67,1.6,3.88,1.1,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
1.5547295,3.9085443,0.51977879,68,1.6,3.88,1.1,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
1.5279255,3.869935,0.47272152,66,1.6,3.88,1.1,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
1.5355676,3.8794603,0.45521724,67,1.6,3.88,1.1,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
1.5361869,3.8669538,0.43954027,68,1.6,3.88,1.1,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
1.5303203,3.8975823,0.46325389,67,1.6,3.88,1.1,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
1.5233462,3.9008291,0.45367661,66,1.6,3.88,1.1,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
1.5222634,3.8962772,0.44715878,67,1.6,3.88,1.1,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
1.5341796,3.8861208,0.47269344,71,1.6,3.88,1.1,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
1.5383396,3.8871653,0.59036016,73,1.6,3.88,1.1,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
1.5483686,3.8849883,0.70370728,75,1.6,3.88,1.1,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
1.540441,3.8879082,0.62504685,66,1.6,3.88,1.1,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
1.5368977,3.8829944,0.55957341,66,1.6,3.88,1.1,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
1.5235076,3.872709,0.55421168,69,1.6,3.88,1.1,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
1.5243098,3.8743284,0.54950619,69,1.6,3.88,1.1,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
1.5332013,3.8758178,0.56479728,71,1.6,3.88,1.1,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
1.5412716,3.8728123,0.55847478,70,1.6,3.88,1.1,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
1.5480174,3.8719447,0.52757406,69,1.6,3.88,1.1,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
1.5523657,3.883126,0.49467769,67,1.6,3.88,1.1,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
1.5636001,3.8845506,0.48496434,70,1.6,3.88,1.1,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
1.5488411,3.874249,0.50651616,70,1.6,3.88,1.1,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
1.5405439,3.8866763,0.53382432,69,1.6,3.88,1.1,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
1.5390297,3.8775823,0.54736251,70,1.6,3.88,1.1,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
1.5323228,3.8804135,0.50126404,66,1.6,3.88,1.1,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
1.5151693,3.910032,0.51193678,65,1.6,3.88,1.1,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
1.5161452,3.9155118,0.46957764,65,1.6,3.88,1.1,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
1.5233585,3.9147499,0.60948426,73,1.6,3.88,1.1,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
1.5102897,3.9086804,0.54133,64,1.6,3.88,1.1,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
1.5125936,3.894187,0.51146775,68,1.6,3.88,1.1,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
1.5142792,3.8905964,0.50827348,68,1.6,3.88,1.1,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
1.5212022,3.8793302,0.58265561,73,1.6,3.88,1.1,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
1.5220038,3.8950887,0.57353336,68,1.6,3.88,1.1,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
1.5029942,3.8861468,0.52121925,64,1.6,3.88,1.1,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
1.5151594,3.8915348,0.49651691,68,1.6,3.88,1.1,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
1.525002,3.8899658,0.47096962,68,1.6,3.88,1.1,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
1.542181,3.8807321,0.48768505,71,1.6,3.88,1.1,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
1.544058,3.893862,0.49186695,68,1.6,3.88,1.1,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
1.5460447,3.8776119,0.50863373,71,1.6,3.88,1.1,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
1.550693,3.866627,0.51200962,71,1.6,3.88,1.1,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
1.559204,3.8673429,0.60582846,74,1.6,3.88,1.1,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
1.5616173,3.8722548,0.68406951,74,1.6,3.88,1.1,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
1.5602062,3.8786087,0.70984626,72,1.6,3.88,1.1,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
1.5541683,3.8837423,0.63875419,67,1.6,3.88,1.1,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
1.5542442,3.8785334,0.57358551,68,1.6,3.88,1.1,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
1.5484608,3.8856287,0.54587895,68,1.6,3.88,1.1,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
1.5541018,3.8896382,0.53564513,69,1.6,3.88,1.1,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
