x,y,z,quality,true_x,true_y,true_z,node_1eb3_x,node_1eb3_y,node_1eb3_z,node_24e1_x,node_24e1_y,node_24e1_z,node_1538_x,node_1538_y,node_1538_z,node_2a93_x,node_2a93_y,node_2a93_z
4.9283819,2.2485693,0.45770639,47,4.89,2.26,0.83,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
4.9333649,2.2525897,0.54371011,55,4.89,2.26,0.83,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
4.911067,2.2345521,0.53088868,46,4.89,2.26,0.83,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
4.9146223,2.241673,0.49760249,47,4.89,2.26,0.83,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
4.9173565,2.2358682,0.48338124,47,4.89,2.26,0.83,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
4.932528,2.2362056,0.48021567,50,4.89,2.26,0.83,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
4.9327993,2.250423,0.52661169,53,4.89,2.26,0.83,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
4.9325309,2.2621248,0.53993309,51,4.89,2.26,0.83,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
4.9502492,2.2561386,0.58455575,55,4.89,2.26,0.83,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
4.9524355,2.2495656,0.540308,48,4.89,2.26,0.83,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
4.9527521,2.2463632,0.50816447,48,4.89,2.26,0.83,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
4.9524927,2.2617519,0.54178971,53,4.89,2.26,0.83,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
4.9520254,2.2528422,0.50029057,46,4.89,2.26,0.83,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
4.9430671,2.2299919,0.52319437,48,4.89,2.26,0.83,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
4.939332,2.2248855,0.50276828,47,4.89,2.26,0.83,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
4.929256,2.2388384,0.63227814,54,4.89,2.26,0.83,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
4.9340172,2.2344441,0.606286,49,4.89,2.26,0.83,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
4.9343667,2.232111,0.54176188,45,4.89,2.26,0.83,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
4.9396286,2.2463849,0.4914279,47,4.89,2.26,0.83,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
4.9306297,2.2538838,0.56657594,53,4.89,2.26,0.83,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
4.9331212,2.2526362,0.620014,54,4.89,2.26,0.83,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
4.9339232,2.2330003,0.63532966,51,4.89,2.26,0.83,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
4.9298768,2.2309394,0.59164035,47,4.89,2.26,0.83,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
4.920023,2.2356772,0.64519531,52,4.89,2.26,0.83,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
