x,y,z,quality,true_x,true_y,true_z,node_1eb3_x,node_1eb3_y,node_1eb3_z,node_24e1_x,node_24e1_y,node_24e1_z,node_1538_x,node_1538_y,node_1538_z,node_2a93_x,node_2a93_y,node_2a93_z
0.52091354,4.6683445,0.68838519,62,0.43,4.65,0.83,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
0.54564184,4.6615186,0.71820462,61,0.43,4.65,0.83,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
0.53007215,4.6666865,0.6604479,63,0.43,4.65,0.83,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
0.51520014,4.6701078,0.6154533,63,0.43,4.65,0.83,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
0.51477689,4.6690693,0.60200894,63,0.43,4.65,0.83,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
0.42467809,4.734179,0.56149113,67,0.43,4.65,0.83,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
0.46719924,4.7033968,0.68284655,61,0.43,4.65,0.83,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
0.47430661,4.6837673,0.68175793,63,0.43,4.65,0.83,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
0.47217524,4.6811862,0.63533652,63,0.43,4.65,0.83,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
0.46954605,4.6808534,0.60256052,63,0.43,4.65,0.83,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
0.49605775,4.6677175,0.67253953,62,0.43,4.65,0.83,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
0.49020141,4.6702943,0.63435882,63,0.43,4.65,0.83,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
0.49391869,4.6741419,0.59567094,63,0.43,4.65,0.83,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
0.50724077,4.67505,0.56869423,62,0.43,4.65,0.83,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
0.51266831,4.6639166,0.61127084,62,0.43,4.65,0.83,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
0.53768659,4.6513119,0.68331736,61,0.43,4.65,0.83,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
0.52085227,4.6548457,0.65333736,63,0.43,4.65,0.83,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
0.50814939,4.6589541,0.63996679,63,0.43,4.65,0.83,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
0.5042097,4.6574707,0.60084647,63,0.43,4.65,0.83,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
0.50781745,4.6594038,0.60603827,63,0.43,4.65,0.83,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
0.52006817,4.6617627,0.6078046,62,0.43,4.65,0.83,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
0.51258904,4.6663647,0.60499883,63,0.43,4.65,0.83,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
0.51891369,4.6584544,0.59824324,62,0.43,4.65,0.83,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
0.52194184,4.6527019,0.57137316,62,0.43,4.65,0.83,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
