x,y,z,quality,true_x,true_y,true_z,node_1eb3_x,node_1eb3_y,node_1eb3_z,node_24e1_x,node_24e1_y,node_24e1_z,node_1538_x,node_1538_y,node_1538_z,node_2a93_x,node_2a93_y,node_2a93_z
3.0830488,2.2535813,0.50859976,83,3.1,2.22,0.83,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
3.0826621,2.2414753,0.50828445,80,3.1,2.22,0.83,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
3.0831559,2.2358789,0.45573279,76,3.1,2.22,0.83,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
3.0932376,2.2467661,0.48589772,82,3.1,2.22,0.83,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
3.1000044,2.222569,0.50045806,78,3.1,2.22,0.83,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
3.1071713,2.2136843,0.51827872,80,3.1,2.22,0.83,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
3.1174543,2.2094297,0.47062555,75,3.1,2.22,0.83,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
3.1203046,2.2392082,0.5533976,86,3.1,2.22,0.83,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
3.105582,2.2327337,0.48978782,76,3.1,2.22,0.83,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
3.1106093,2.2464259,0.57637441,85,3.1,2.22,0.83,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
3.1057029,2.2455683,0.70273346,86,3.1,2.22,0.83,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
3.1131439,2.2513099,0.76919156,85,3.1,2.22,0.83,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
3.1092343,2.2341764,0.69332594,78,3.1,2.22,0.83,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
3.1034927,2.2257118,0.59568959,76,3.1,2.22,0.83,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
3.1176412,2.2351449,0.66117728,84,3.1,2.22,0.83,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
3.1264019,2.2436633,0.62738925,80,3.1,2.22,0.83,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
3.1372275,2.2423532,0.54730374,75,3.1,2.22,0.83,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
3.1268845,2.2290244,0.49981394,76,3.1,2.22,0.83,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
3.1039588,2.2053676,0.47084218,76,3.1,2.22,0.83,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
3.0977564,2.2186184,0.59317964,86,3.1,2.22,0.83,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
3.1052525,2.221163,0.56969279,79,3.1,2.22,0.83,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
3.1116996,2.2332308,0.63405585,84,3.1,2.22,0.83,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
3.1228456,2.256222,0.66143411,84,3.1,2.22,0.83,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
3.1101689,2.2324128,0.5873329,76,3.1,2.22,0.83,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
3.1083498,2.2344818,0.6680904,85,3.1,2.22,0.83,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
3.1156569,2.2464466,0.62690836,81,3.1,2.22,0.83,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
3.1022205,2.2408943,0.574573,79,3.1,2.22,0.83,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
3.093713,2.2339711,0.53715312,79,3.1,2.22,0.83,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
3.1032441,2.225641,0.49454573,76,3.1,2.22,0.83,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
3.0988104,2.2213767,0.49223092,79,3.1,2.22,0.83,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
3.0871553,2.2432311,0.43126464,77,3.1,2.22,0.83,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
3.0975811,2.2478821,0.3971715,76,3.1,2.22,0.83,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
3.0957308,2.2408497,0.38897142,77,3.1,2.22,0.83,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
3.0923259,2.2313747,0.41000834,79,3.1,2.22,0.83,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
3.1069849,2.2293231,0.42736018,79,3.1,2.22,0.83,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
3.0988727,2.2155726,0.39650652,75,3.1,2.22,0.83,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
3.0905762,2.2093935,0.3965008,77,3.1,2.22,0.83,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
3.09184,2.2110813,0.38150105,76,3.1,2.22,0.83,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
3.0989969,2.2328389,0.48196688,85,3.1,2.22,0.83,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
3.0953894,2.2314012,0.46606818,78,3.1,2.22,0.83,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
3.1086929,2.2344923,0.56791312,84,3.1,2.22,0.83,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
3.0919116,2.2274077,0.48635113,75,3.1,2.22,0.83,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
3.0928533,2.2314079,0.52577728,82,3.1,2.22,0.83,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
3.1027,2.231771,0.54896194,81,3.1,2.22,0.83,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
3.1043801,2.2231987,0.58580524,82,3.1,2.22,0.83,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
3.0864146,2.2048888,0.52542734,76,3.1,2.22,0.83,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
3.0967948,2.1912274,0.51233935,77,3.1,2.22,0.83,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
3.0874019,2.2004013,0.46547082,77,3.1,2.22,0.83,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
3.0747182,2.195956,0.45779589,78,3.1,2.22,0.83,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
3.093174,2.2078264,0.41781881,76,3.1,2.22,0.83,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
