x,y,z,quality,true_x,true_y,true_z,node_1eb3_x,node_1eb3_y,node_1eb3_z,node_24e1_x,node_24e1_y,node_24e1_z,node_1538_x,node_1538_y,node_1538_z,node_2a93_x,node_2a93_y,node_2a93_z
1.596365,5.2251678,0.62591815,53,1.59,5.25,0.8,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
1.6304702,5.2312336,0.6623491,52,1.59,5.25,0.8,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
1.6400167,5.2297955,0.6749481,53,1.59,5.25,0.8,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
1.6428494,5.2362332,0.66965348,53,1.59,5.25,0.8,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
1.6477487,5.2580914,0.65165859,54,1.59,5.25,0.8,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
1.6546501,5.3188548,0.653658,56,1.59,5.25,0.8,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
1.6522372,5.2948365,0.63269365,53,1.59,5.25,0.8,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
1.6497532,5.2694263,0.67402881,53,1.59,5.25,0.8,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
1.6544727,5.251286,0.72886312,52,1.59,5.25,0.8,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
1.6481861,5.2611194,0.6642729,53,1.59,5.25,0.8,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
1.6498331,5.2420654,0.658744,53,1.59,5.25,0.8,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
1.6436085,5.2461267,0.63709676,54,1.59,5.25,0.8,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
1.6455531,5.2573714,0.63560021,54,1.59,5.25,0.8,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
1.6515107,5.2810893,0.61983764,54,1.59,5.25,0.8,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
1.6479596,5.2645164,0.61652583,53,1.59,5.25,0.8,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
1.6478004,5.2588496,0.63770527,53,1.59,5.25,0.8,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
1.6513543,5.2552853,0.63462353,53,1.59,5.25,0.8,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
1.6446942,5.2546525,0.67829615,54,1.59,5.25,0.8,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
1.6429261,5.2497725,0.6856935,53,1.59,5.25,0.8,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
1.66008,5.30991,0.6883716,72,1.59,5.25,0.8,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
1.6618868,5.2856741,0.67076063,53,1.59,5.25,0.8,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
1.6806469,5.2759404,0.66008079,52,1.59,5.25,0.8,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
1.6745595,5.2687607,0.67771769,53,1.59,5.25,0.8,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
1.6592538,5.259335,0.65189785,53,1.59,5.25,0.8,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
1.6661955,5.2540593,0.73235482,53,1.59,5.25,0.8,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
1.6513635,5.2130275,0.81239063,52,1.59,5.25,0.8,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
1.6633154,5.2150154,0.82307625,52,1.59,5.25,0.8,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
1.6555692,5.2044368,0.76045275,51,1.59,5.25,0.8,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
1.6700119,5.2090874,0.81795871,52,1.59,5.25,0.8,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
1.6704282,5.195034,0.77473247,52,1.59,5.25,0.8,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
1.6650356,5.2070975,0.74924386,53,1.59,5.25,0.8,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
1.6644347,5.2096734,0.74927324,53,1.59,5.25,0.8,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
1.6438637,5.2456088,0.69303292,55,1.59,5.25,0.8,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
1.6535546,5.2364869,0.69984365,53,1.59,5.25,0.8,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
1.6561905,5.2340007,0.74148732,53,1.59,5.25,0.8,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
1.6497587,5.2241411,0.71696609,53,1.59,5.25,0.8,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
1.6534618,5.2268448,0.70639259,53,1.59,5.25,0.8,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
1.6509007,5.2197866,0.71850109,53,1.59,5.25,0.8,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
1.6386747,5.1998196,0.71488547,51,1.59,5.25,0.8,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
1.6427157,5.2059231,0.69720721,53,1.59,5.25,0.8,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
1.6593039,5.2140775,0.74061888,52,1.59,5.25,0.8,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
1.6339201,5.2420425,0.69216257,55,1.59,5.25,0.8,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
1.6374897,5.2305026,0.68985462,53,1.59,5.25,0.8,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
1.6300241,5.2121773,0.71073091,53,1.59,5.25,0.8,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
1.6300302,5.2236977,0.6614635,53,1.59,5.25,0.8,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
1.6334283,5.2070117,0.67606604,53,1.59,5.25,0.8,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
1.6391602,5.2149863,0.6396606,53,1.59,5.25,0.8,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
1.6289053,5.20921,0.61449808,49,1.59,5.25,0.8,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
1.6403111,5.2104955,0.68241912,53,1.59,5.25,0.8,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
1.6577864,5.2151933,0.69988835,52,1.59,5.25,0.8,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
