x,y,z,quality,true_x,true_y,true_z,node_1eb3_x,node_1eb3_y,node_1eb3_z,node_24e1_x,node_24e1_y,node_24e1_z,node_1538_x,node_1538_y,node_1538_z,node_2a93_x,node_2a93_y,node_2a93_z
1.2986176,0.92022854,0.60405016,63,1.33,1.05,0.83,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
1.198864,0.84452862,0.56245852,66,1.33,1.05,0.83,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
1.145161,0.79859161,0.53715479,65,1.33,1.05,0.83,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
1.1746026,0.84100348,0.54804868,63,1.33,1.05,0.83,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
1.1257645,0.79577667,0.53684676,65,1.33,1.05,0.83,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
1.1095098,0.78564966,0.59028572,66,1.33,1.05,0.83,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
1.145714,0.82587129,0.59434861,64,1.33,1.05,0.83,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
1.1924393,0.87373662,0.66437966,62,1.33,1.05,0.83,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
1.2210917,0.88102859,0.6758498,64,1.33,1.05,0.83,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
1.2383199,0.89560747,0.6548965,63,1.33,1.05,0.83,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
1.2613729,0.92993796,0.70222116,62,1.33,1.05,0.83,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
1.2564301,0.9206664,0.67807513,64,1.33,1.05,0.83,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
1.2559994,0.90630519,0.68132168,64,1.33,1.05,0.83,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
1.2775916,0.95040113,0.74508494,62,1.33,1.05,0.83,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
1.2948605,0.98778796,0.81398982,61,1.33,1.05,0.83,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
1.2678514,0.95008147,0.75591654,65,1.33,1.05,0.83,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
1.2781984,0.98332578,0.77215606,62,1.33,1.05,0.83,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
1.2277937,0.92274,0.73003018,61,1.33,1.05,0.83,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
1.2366639,0.92778116,0.70712417,64,1.33,1.05,0.83,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
1.2208966,0.89597988,0.7046957,63,1.33,1.05,0.83,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
1.1695,0.86263239,0.66924608,59,1.33,1.05,0.83,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
1.185102,0.886935,0.656276,64,1.33,1.05,0.83,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
1.2236784,0.91837925,0.74138141,62,1.33,1.05,0.83,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
1.2468221,0.95061123,0.77780837,62,1.33,1.05,0.83,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
