x,y,z,quality,true_x,true_y,true_z,node_1eb3_x,node_1eb3_y,node_1eb3_z,node_24e1_x,node_24e1_y,node_24e1_z,node_1538_x,node_1538_y,node_1538_z,node_2a93_x,node_2a93_y,node_2a93_z
2.2778394,0.88847417,0.53673643,58,2.2,1.05,0.83,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
2.2710347,0.92558378,0.53280872,57,2.2,1.05,0.83,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
2.2667778,0.93346089,0.53403521,58,2.2,1.05,0.83,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
2.2512476,0.96291554,0.52236134,57,2.2,1.05,0.83,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
2.2462921,0.97207373,0.53219742,58,2.2,1.05,0.83,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
2.2440736,0.98311931,0.53176123,58,2.2,1.05,0.83,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
2.2437463,0.97159642,0.553386,58,2.2,1.05,0.83,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
2.2490404,0.97089469,0.57503396,58,2.2,1.05,0.83,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
2.2507224,0.97056246,0.57374132,58,2.2,1.05,0.83,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
2.2021532,0.93509513,0.5540691,61,2.2,1.05,0.83,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
2.2062387,0.95000851,0.56174082,58,2.2,1.05,0.83,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
2.2130024,0.99555886,0.5565716,56,2.2,1.05,0.83,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
2.2186701,1.0082309,0.55086136,57,2.2,1.05,0.83,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
2.2249146,1.0019195,0.54520613,58,2.2,1.05,0.83,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
2.2326517,0.99875963,0.54599386,58,2.2,1.05,0.83,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
2.2720959,0.92014331,0.55560315,61,2.2,1.05,0.83,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
2.3010523,0.845738,0.55329633,62,2.2,1.05,0.83,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
2.3181062,0.80669719,0.55465341,61,2.2,1.05,0.83,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
2.3007317,0.8463906,0.553166,58,2.2,1.05,0.83,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
2.3524373,0.70880294,0.55305141,65,2.2,1.05,0.83,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
2.3200915,0.78857905,0.53318173,58,2.2,1.05,0.83,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
2.2949169,0.83247167,0.5131197,58,2.2,1.05,0.83,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
2.2839332,0.86430514,0.54525483,58,2.2,1.05,0.83,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
2.3074429,0.817578,0.53773278,61,2.2,1.05,0.83,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
2.2905703,0.84944969,0.52398318,59,2.2,1.05,0.83,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
2.2673461,0.88143384,0.52108222,58,2.2,1.05,0.83,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
2.2562919,0.93352717,0.51375574,57,2.2,1.05,0.83,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
2.2463996,0.95481735,0.49675474,58,2.2,1.05,0.83,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
2.2488065,0.98379564,0.50917488,57,2.2,1.05,0.83,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
2.2437,0.98857641,0.51972359,58,2.2,1.05,0.83,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
2.2343016,0.97722733,0.50585318,59,2.2,1.05,0.83,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
2.2248633,0.97645926,0.5177772,58,2.2,1.05,0.83,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
2.2286196,0.96768636,0.52861029,58,2.2,1.05,0.83,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
2.2303824,0.971003,0.50926518,58,2.2,1.05,0.83,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
2.2407763,0.97031546,0.5247373,58,2.2,1.05,0.83,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
2.2373171,0.99899012,0.50908124,57,2.2,1.05,0.83,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
2.2451143,0.98555642,0.52214307,58,2.2,1.05,0.83,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
2.2383437,1.001285,0.52291673,57,2.2,1.05,0.83,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
2.2454865,0.98541504,0.56612837,58,2.2,1.05,0.83,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
2.2475517,0.98591995,0.55645365,58,2.2,1.05,0.83,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
2.2419751,0.98344922,0.57190317,58,2.2,1.05,0.83,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
2.2512441,0.97950941,0.59201372,58,2.2,1.05,0.83,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
2.2454991,0.9919855,0.58783239,57,2.2,1.05,0.83,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
2.2478685,0.97625029,0.58657855,59,2.2,1.05,0.83,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
2.3158729,0.79244882,0.60436845,65,2.2,1.05,0.83,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
2.2924798,0.86065179,0.575115,57,2.2,1.05,0.83,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
2.2771664,0.92135727,0.58980131,56,2.2,1.05,0.83,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
2.2702055,0.95978779,0.59328532,57,2.2,1.05,0.83,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
2.2581139,0.98566258,0.56442326,57,2.2,1.05,0.83,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
2.2557991,0.99634153,0.58548409,57,2.2,1.05,0.83,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
