x,y,z,quality,true_x,true_y,true_z,node_1eb3_x,node_1eb3_y,node_1eb3_z,node_24e1_x,node_24e1_y,node_24e1_z,node_1538_x,node_1538_y,node_1538_z,node_2a93_x,node_2a93_y,node_2a93_z
1.3411285,4.6100492,0.53268462,52,1.35,4.65,0.83,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
1.3459877,4.6048312,0.52979916,53,1.35,4.65,0.83,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
1.332882,4.6181355,0.54369849,54,1.35,4.65,0.83,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
1.3291472,4.6053023,0.52630705,53,1.35,4.65,0.83,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
1.3311617,4.6068773,0.51580727,53,1.35,4.65,0.83,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
1.3344543,4.6129613,0.49698454,53,1.35,4.65,0.83,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
1.3111176,4.6412716,0.4877198,55,1.35,4.65,0.83,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
1.3183849,4.6261077,0.48407525,53,1.35,4.65,0.83,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
1.3088608,4.6285548,0.4886561,54,1.35,4.65,0.83,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
1.3124357,4.6230183,0.48095024,53,1.35,4.65,0.83,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
1.3206662,4.6196809,0.48721316,53,1.35,4.65,0.83,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
1.3103422,4.61125,0.52611858,53,1.35,4.65,0.83,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
1.3111116,4.5968547,0.5196929,53,1.35,4.65,0.83,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
1.3257402,4.5848136,0.58612442,54,1.35,4.65,0.83,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
1.3284122,4.6000409,0.55772352,53,1.35,4.65,0.83,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
1.3333658,4.5943217,0.68262941,54,1.35,4.65,0.83,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
1.324562,4.6021471,0.64447886,54,1.35,4.65,0.83,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
1.2995192,4.6286564,0.60272527,55,1.35,4.65,0.83,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
1.3007283,4.6329484,0.58504122,54,1.35,4.65,0.83,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
1.3126651,4.6177268,0.54825276,53,1.35,4.65,0.83,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
1.2954576,4.6301489,0.51303673,55,1.35,4.65,0.83,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
1.3060325,4.621974,0.50307888,53,1.35,4.65,0.83,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
1.3007811,4.6150088,0.49779928,54,1.35,4.65,0.83,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
1.2993655,4.6101732,0.51797289,53,1.35,4.65,0.83,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
1.300429,4.60491,0.50884175,53,1.35,4.65,0.83,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
1.3173201,4.5968814,0.62509894,54,1.35,4.65,0.83,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
1.2920486,4.622242,0.56642663,55,1.35,4.65,0.83,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
1.289332,4.6181917,0.5748024,54,1.35,4.65,0.83,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
1.2847463,4.61779,0.58124453,54,1.35,4.65,0.83,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
1.2905574,4.617445,0.55717522,53,1.35,4.65,0.83,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
1.3170413,4.6095591,0.54890066,52,1.35,4.65,0.83,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
1.3066326,4.601006,0.52398896,54,1.35,4.65,0.83,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
1.3212672,4.6015277,0.51344848,53,1.35,4.65,0.83,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
1.3065593,4.60436,0.49815056,54,1.35,4.65,0.83,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
1.3012495,4.5861053,0.5957678,53,1.35,4.65,0.83,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
1.3157171,4.5837188,0.66536766,53,1.35,4.65,0.83,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
1.3166583,4.5868058,0.62362319,53,1.35,4.65,0.83,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
1.317142,4.58697,0.59036452,53,1.35,4.65,0.83,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
1.3106555,4.582593,0.66842771,53,1.35,4.65,0.83,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
1.3104342,4.5820742,0.63414693,53,1.35,4.65,0.83,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
1.3238342,4.5804281,0.60856318,52,1.35,4.65,0.83,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
1.3428383,4.5839305,0.59428561,52,1.35,4.65,0.83,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
1.3416692,4.5865612,0.56418562,53,1.35,4.65,0.83,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
1.3236393,4.587152,0.55238891,54,1.35,4.65,0.83,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
1.3298254,4.6011968,0.59843028,53,1.35,4.65,0.83,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
1.3342626,4.5930467,0.553612,53,1.35,4.65,0.83,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
1.334379,4.5907488,0.55049574,53,1.35,4.65,0.83,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
1.3196254,4.5889754,0.59756976,53,1.35,4.65,0.83,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
