x,y,z,quality,true_x,true_y,true_z,node_1eb3_x,node_1eb3_y,node_1eb3_z,node_24e1_x,node_24e1_y,node_24e1_z,node_1538_x,node_1538_y,node_1538_z,node_2a93_x,node_2a93_y,node_2a93_z
3.4751787,5.3356938,0.3782315,59,3.4,5.25,0.8,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
3.4465449,5.2817259,0.48396471,78,3.4,5.25,0.8,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
3.4817905,5.3154087,0.43750083,61,3.4,5.25,0.8,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
3.4741287,5.3206987,0.41580757,65,3.4,5.25,0.8,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
3.5095932,5.3503408,0.41485757,61,3.4,5.25,0.8,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
3.4758747,5.2944112,0.45687887,75,3.4,5.25,0.8,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
3.4718146,5.268435,0.47882742,72,3.4,5.25,0.8,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
3.4512248,5.2546182,0.50074178,73,3.4,5.25,0.8,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
3.45255,5.2230272,0.524067,74,3.4,5.25,0.8,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
3.4593194,5.1986394,0.53383404,73,3.4,5.25,0.8,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
3.4344003,5.1816106,0.6273607,78,3.4,5.25,0.8,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
3.4172521,5.1805129,0.68501091,77,3.4,5.25,0.8,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
3.3964937,5.1625791,0.66746551,77,3.4,5.25,0.8,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
3.3823254,5.1306033,0.7442497,81,3.4,5.25,0.8,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
3.3765795,5.1251559,0.72656989,77,3.4,5.25,0.8,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
