x,y,z,quality,true_x,true_y,true_z
0.44786385,0.16642562,0.17745848,96,0.5,0.25,0.0
0.44007677,0.17897561,0.21317621,63,0.5,0.25,0.0
0.45246777,0.10217893,0.12568796,80,0.5,0.25,0.0
0.44506967,0.10100664,0.16660737,65,0.5,0.25,0.0
0.43047649,0.16004793,0.16539371,58,0.5,0.25,0.0
0.39159936,0.16172135,0.18351685,51,0.5,0.25,0.0
0.36426225,0.15737669,0.198619,48,0.5,0.25,0.0
0.37419859,0.16136587,0.19962129,70,0.5,0.25,0.0
0.37634444,0.18520412,0.2156266,60,0.5,0.25,0.0
0.39608297,0.17702167,0.1824504,88,0.5,0.25,0.0
0.41068888,0.17812183,0.15799287,91,0.5,0.25,0.0
0.43624675,0.18313761,0.19867918,69,0.5,0.25,0.0
0.45526448,0.16248465,0.075448044,70,0.5,0.25,0.0
0.46931502,0.088619508,0.043027457,79,0.5,0.25,0.0
0.45079535,0.11222244,0.10185737,58,0.5,0.25,0.0
0.4390913,0.11672889,0.1437896,61,0.5,0.25,0.0
0.43150347,0.1075037,0.18239143,66,0.5,0.25,0.0
0.43852502,0.11569452,0.21913759,68,0.5,0.25,0.0
0.43492997,0.10516921,0.24404877,68,0.5,0.25,0.0
0.41708806,0.11113874,0.25995532,60,0.5,0.25,0.0
0.4162133,0.12115327,0.26485205,61,0.5,0.25,0.0
0.4191601,0.12237097,0.24460499,70,0.5,0.25,0.0
0.40850621,0.14604464,0.23401469,72,0.5,0.25,0.0
0.40909493,0.15367757,0.2513389,62,0.5,0.25,0.0
0.4076235,0.12745136,0.26458925,67,0.5,0.25,0.0
0.37807909,0.097383223,0.26743904,61,0.5,0.25,0.0
0.40385467,0.075592287,0.28149047,75,0.5,0.25,0.0
0.40720347,0.076101273,0.29473165,68,0.5,0.25,0.0
0.41311851,0.093844421,0.28935862,63,0.5,0.25,0.0
0.4151662,0.10681894,0.25302896,78,0.5,0.25,0.0
0.4059993,0.13569734,0.2665197,58,0.5,0.25,0.0
0.40505105,0.15061525,0.2818386,62,0.5,0.25,0.0
0.41102734,0.15491205,0.27256468,62,0.5,0.25,0.0
0.38240871,0.14314952,0.26587585,48,0.5,0.25,0.0
