x,y,z,quality,true_x,true_y,true_z,node_1eb3_x,node_1eb3_y,node_1eb3_z,node_24e1_x,node_24e1_y,node_24e1_z,node_1538_x,node_1538_y,node_1538_z,node_2a93_x,node_2a93_y,node_2a93_z
5.83467,2.9806592,0.54280245,64,5.8,3.0,0.8,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
5.8458838,2.9784875,0.55640608,65,5.8,3.0,0.8,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
5.8421988,2.9871294,0.54440564,65,5.8,3.0,0.8,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
5.8153229,2.9855878,0.55499309,64,5.8,3.0,0.8,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
5.8225203,2.9883046,0.57177532,65,5.8,3.0,0.8,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
5.84529,2.969656,0.54315442,66,5.8,3.0,0.8,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
5.8454108,2.9612784,0.66843152,65,5.8,3.0,0.8,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
5.8428726,2.9745352,0.63587183,65,5.8,3.0,0.8,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
5.8483219,2.9717791,0.69758141,65,5.8,3.0,0.8,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
5.8507991,2.9791822,0.64351732,65,5.8,3.0,0.8,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
5.8543806,2.9937618,0.61683095,65,5.8,3.0,0.8,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
5.8308716,2.9946387,0.60722572,64,5.8,3.0,0.8,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
5.8263392,2.9989316,0.58951008,65,5.8,3.0,0.8,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
5.8348951,2.9944513,0.60284835,65,5.8,3.0,0.8,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
5.8299022,2.9931667,0.58900249,65,5.8,3.0,0.8,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
5.8184605,3.0013466,0.58382142,64,5.8,3.0,0.8,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
5.7983108,3.0084882,0.59346443,64,5.8,3.0,0.8,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
5.8013396,3.0109818,0.57075667,65,5.8,3.0,0.8,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
5.8127112,3.0099125,0.55362964,65,5.8,3.0,0.8,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
5.81603,3.0090532,0.52516741,65,5.8,3.0,0.8,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
5.8118815,3.0189328,0.49033439,65,5.8,3.0,0.8,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
5.8232431,3.0189664,0.53216612,65,5.8,3.0,0.8,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
5.837863,3.0128081,0.52642131,65,5.8,3.0,0.8,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
5.8406024,3.0125751,0.53283668,65,5.8,3.0,0.8,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
5.8588114,2.9793351,0.53314006,66,5.8,3.0,0.8,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
5.8385177,2.9807491,0.61454254,64,5.8,3.0,0.8,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
5.83609,2.9893677,0.58914721,65,5.8,3.0,0.8,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
5.8213964,2.9967141,0.59151906,64,5.8,3.0,0.8,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
5.8478374,2.9728594,0.57968825,66,5.8,3.0,0.8,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
5.8605657,2.9822371,0.58592343,65,5.8,3.0,0.8,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
