x,y,z,quality,true_x,true_y,true_z,node_1eb3_x,node_1eb3_y,node_1eb3_z,node_24e1_x,node_24e1_y,node_24e1_z,node_1538_x,node_1538_y,node_1538_z,node_2a93_x,node_2a93_y,node_2a93_z
1.3956811,2.1525047,0.62879568,51,1.3,2.25,0.83,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
1.4148506,2.1388021,0.59486729,48,1.3,2.25,0.83,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
1.3721364,2.1375632,0.55330962,51,1.3,2.25,0.83,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
1.3341225,2.1939793,0.54835814,53,1.3,2.25,0.83,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
1.3595,2.1859636,0.57166171,50,1.3,2.25,0.83,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
1.3249037,2.2327986,0.56796622,52,1.3,2.25,0.83,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
1.2989209,2.2605474,0.56477147,53,1.3,2.25,0.83,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
1.3549774,2.209734,0.54560649,49,1.3,2.25,0.83,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
1.3216913,2.2345877,0.53066671,53,1.3,2.25,0.83,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
1.3400352,2.2120833,0.52117145,47,1.3,2.25,0.83,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
1.3094393,2.2631311,0.54108638,52,1.3,2.25,0.83,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
1.2906038,2.2850962,0.54309356,52,1.3,2.25,0.83,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
1.3556136,2.2331717,0.51705062,49,1.3,2.25,0.83,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
1.3427292,2.2052763,0.49454314,48,1.3,2.25,0.83,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
1.3250475,2.1955891,0.48058665,51,1.3,2.25,0.83,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
1.3283488,2.1987987,0.52862608,51,1.3,2.25,0.83,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
1.3122791,2.196686,0.51872414,53,1.3,2.25,0.83,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
1.3042452,2.1857979,0.51385069,53,1.3,2.25,0.83,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
1.2862452,2.1786127,0.49088836,52,1.3,2.25,0.83,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
1.2824309,2.1824307,0.58128572,52,1.3,2.25,0.83,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
1.2816015,2.174633,0.54180771,50,1.3,2.25,0.83,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
1.2916667,2.1779196,0.62722516,52,1.3,2.25,0.83,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
1.2786109,2.1665139,0.585595,53,1.3,2.25,0.83,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
1.2930629,2.1748528,0.68763977,51,1.3,2.25,0.83,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
1.3446695,2.1590033,0.69301629,51,1.3,2.25,0.83,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
1.3147093,2.1619163,0.63858277,53,1.3,2.25,0.83,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
1.192992,2.0698497,0.556624,43,1.3,2.25,0.83,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
1.2075294,2.083549,0.53289789,52,1.3,2.25,0.83,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
1.2126914,2.1103077,0.50466746,53,1.3,2.25,0.83,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
1.2187765,2.1171856,0.49200413,53,1.3,2.25,0.83,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
1.2278484,2.1271088,0.48799971,53,1.3,2.25,0.83,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
1.2328154,2.1299965,0.48853093,53,1.3,2.25,0.83,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
1.2657623,2.1407378,0.51181585,51,1.3,2.25,0.83,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
1.2483463,2.2013307,0.52105671,53,1.3,2.25,0.83,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
1.2963847,2.1803432,0.57793915,50,1.3,2.25,0.83,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
1.3385518,2.1627121,0.550382,48,1.3,2.25,0.83,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
1.309801,2.2055809,0.53822976,53,1.3,2.25,0.83,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
1.2947521,2.1974802,0.5332858,53,1.3,2.25,0.83,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
1.2935263,2.1838109,0.52886868,53,1.3,2.25,0.83,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
1.2785103,2.1696327,0.51072395,53,1.3,2.25,0.83,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
1.3426477,2.1450903,0.49556059,49,1.3,2.25,0.83,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
1.3185914,2.1455004,0.481824,52,1.3,2.25,0.83,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
1.3358672,2.1527836,0.53460377,51,1.3,2.25,0.83,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
1.315212,2.1534672,0.52148229,53,1.3,2.25,0.83,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
1.2947845,2.1443183,0.49898115,51,1.3,2.25,0.83,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
1.2935359,2.1464677,0.51035929,53,1.3,2.25,0.83,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
1.2990373,2.1622803,0.6320504,51,1.3,2.25,0.83,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
1.2976041,2.1618845,0.5774259,49,1.3,2.25,0.83,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
