x,y,z,quality,true_x,true_y,true_z,node_1eb3_x,node_1eb3_y,node_1eb3_z,node_24e1_x,node_24e1_y,node_24e1_z,node_1538_x,node_1538_y,node_1538_z,node_2a93_x,node_2a93_y,node_2a93_z
3.9922087,2.2119427,0.45962116,61,4.0,2.25,0.83,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
3.9972646,2.1968057,0.56220496,66,4.0,2.25,0.83,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
4.0056825,2.2394395,0.50693333,66,4.0,2.25,0.83,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
3.9998059,2.2457037,0.49515933,66,4.0,2.25,0.83,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
4.0086718,2.2358096,0.486101,63,4.0,2.25,0.83,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
4.0013185,2.232137,0.52452326,67,4.0,2.25,0.83,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
3.9973068,2.2218356,0.52071166,65,4.0,2.25,0.83,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
3.9931943,2.2149429,0.46563986,62,4.0,2.25,0.83,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
3.9847438,2.2056532,0.508241,66,4.0,2.25,0.83,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
3.9709787,2.228235,0.50189316,68,4.0,2.25,0.83,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
3.9777796,2.2363043,0.476966,65,4.0,2.25,0.83,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
3.986737,2.2284012,0.50340766,65,4.0,2.25,0.83,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
3.9884145,2.222502,0.50237054,65,4.0,2.25,0.83,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
3.9923522,2.2182941,0.48363823,63,4.0,2.25,0.83,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
4.0012784,2.2099335,0.51600879,65,4.0,2.25,0.83,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
3.9631255,2.1933439,0.461121,63,4.0,2.25,0.83,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
3.9742055,2.2040107,0.450203,64,4.0,2.25,0.83,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
3.9877079,2.1923044,0.46459168,63,4.0,2.25,0.83,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
4.0022025,2.2007527,0.45564121,63,4.0,2.25,0.83,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
3.99482,2.2017832,0.44206873,64,4.0,2.25,0.83,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
3.9872315,2.2307508,0.52906013,71,4.0,2.25,0.83,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
3.995759,2.2266269,0.50026292,63,4.0,2.25,0.83,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
3.9946334,2.2477794,0.49231535,67,4.0,2.25,0.83,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
3.9822414,2.2190912,0.51057374,64,4.0,2.25,0.83,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
3.9786155,2.2205186,0.54064351,67,4.0,2.25,0.83,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
3.9809942,2.2062392,0.55637056,65,4.0,2.25,0.83,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
3.9711328,2.18891,0.48628071,61,4.0,2.25,0.83,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
3.9718988,2.1978507,0.52891761,67,4.0,2.25,0.83,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
3.9814661,2.1976879,0.5027287,63,4.0,2.25,0.83,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
3.9860539,2.1883233,0.48394,62,4.0,2.25,0.83,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
3.980386,2.1985588,0.58950436,69,4.0,2.25,0.83,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
3.9879727,2.2124858,0.57138473,66,4.0,2.25,0.83,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
3.9909425,2.2142887,0.54143918,64,4.0,2.25,0.83,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
3.9929919,2.2058225,0.51329368,63,4.0,2.25,0.83,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
3.9921725,2.2097664,0.46947896,63,4.0,2.25,0.83,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
4.0012736,2.2085066,0.45117664,63,4.0,2.25,0.83,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
3.9972441,2.2045734,0.44494751,64,4.0,2.25,0.83,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
3.9953332,2.2029436,0.43234819,63,4.0,2.25,0.83,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
3.987468,2.2091153,0.43737525,65,4.0,2.25,0.83,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
3.9878898,2.2090929,0.44654849,64,4.0,2.25,0.83,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
3.9858034,2.2055616,0.43325153,63,4.0,2.25,0.83,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
3.9961019,2.2071879,0.46977419,65,4.0,2.25,0.83,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
4.0040298,2.2032835,0.450496,62,4.0,2.25,0.83,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
4.0086074,2.2026057,0.43327862,62,4.0,2.25,0.83,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
4.0091147,2.2063339,0.46371806,65,4.0,2.25,0.83,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
3.9944398,2.1865442,0.42275336,61,4.0,2.25,0.83,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
3.9902012,2.1947165,0.47868297,67,4.0,2.25,0.83,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
3.9896579,2.1989236,0.46250343,64,4.0,2.25,0.83,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
4.0046625,2.1837811,0.48257086,62,4.0,2.25,0.83,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
4.0058661,2.1928396,0.50463408,66,4.0,2.25,0.83,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
