x,y,z,quality,true_x,true_y,true_z,node_1eb3_x,node_1eb3_y,node_1eb3_z,node_24e1_x,node_24e1_y,node_24e1_z,node_1538_x,node_1538_y,node_1538_z,node_2a93_x,node_2a93_y,node_2a93_z
0.66958755,5.5127864,0.52474654,70,0.685,5.25,0.8,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
0.67312586,5.4441228,0.55699712,64,0.685,5.25,0.8,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
0.66898286,5.3992448,0.64561725,64,0.685,5.25,0.8,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
0.66862303,5.34897,0.68411171,64,0.685,5.25,0.8,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
0.67892122,5.3332062,0.65942311,64,0.685,5.25,0.8,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
0.67043549,5.3153644,0.63613337,64,0.685,5.25,0.8,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
0.66941577,5.3023057,0.64303416,64,0.685,5.25,0.8,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
0.66542947,5.2926173,0.63408035,64,0.685,5.25,0.8,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
0.67786074,5.2672124,0.67006403,63,0.685,5.25,0.8,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
0.64533252,5.2347074,0.65512824,65,0.685,5.25,0.8,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
0.63993084,5.24015,0.64015472,65,0.685,5.25,0.8,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
0.64772481,5.2400017,0.64453745,64,0.685,5.25,0.8,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
0.64708114,5.24348,0.62797064,64,0.685,5.25,0.8,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
0.65671992,5.2407103,0.63226467,64,0.685,5.25,0.8,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
0.66678107,5.2325439,0.65797585,63,0.685,5.25,0.8,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
0.65791255,5.2358804,0.64029258,64,0.685,5.25,0.8,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
0.65691066,5.2494979,0.62245172,64,0.685,5.25,0.8,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
0.67562932,5.25154,0.621965,64,0.685,5.25,0.8,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
0.67246306,5.2553759,0.60953915,64,0.685,5.25,0.8,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
0.66295886,5.2515159,0.61170751,64,0.685,5.25,0.8,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
0.68168074,5.2526288,0.62065858,63,0.685,5.25,0.8,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
0.6779266,5.2473755,0.62431985,64,0.685,5.25,0.8,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
0.64844871,5.2792974,0.61357266,66,0.685,5.25,0.8,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
0.65512055,5.2717233,0.61570978,64,0.685,5.25,0.8,0.55,1.15,1.1,6.4,0.55,1.1,6.03,6.25,1.15,0.5,6.1,1.13
